Resultado,Pedra,Hora
"15.768,00",7,"
        14:21
      "
"17.084,00",5,"
        14:21
      "
"5.995,00",12,"
        14:20
      "
"18.438,00",1,"
        14:20
      "
"13.470,00",7,"
        14:19
      "
"15.757,00",3,"
        14:19
      "
"13.617,00",11,"
        14:18
      "
"18.137,00",3,"
        14:18
      "
"8.703,00",6,"
        14:17
      "
"12.645,00",11,"
        14:17
      "
"9.380,00",12,"
        14:16
      "
"11.034,00",9,"
        14:16
      "
"14.490,00",4,"
        14:15
      "
"-89.240,00",0,"
        14:15
      "
"10.456,00",14,"
        14:14
      "
"17.788,00",4,"
        14:14
      "
"17.663,00",6,"
        14:13
      "
"10.642,00",6,"
        14:13
      "
"11.308,00",2,"
        14:12
      "
"9.560,00",12,"
        14:12
      "
"16.511,00",1,"
        14:11
      "
"16.297,00",5,"
        14:11
      "
"-148.436,00",0,"
        14:10
      "
"18.094,00",5,"
        14:10
      "
"15.298,00",1,"
        14:09
      "
"9.757,00",1,"
        14:09
      "
"6.377,00",5,"
        14:08
      "
"8.217,00",11,"
        14:08
      "
"4.935,00",14,"
        14:07
      "
"18.089,00",7,"
        14:07
      "
"-121.582,00",0,"
        14:06
      "
"12.706,00",3,"
        14:06
      "
"15.593,00",3,"
        14:05
      "
"9.335,00",4,"
        14:05
      "
"11.286,00",14,"
        14:04
      "
"8.507,00",10,"
        14:04
      "
"19.520,00",6,"
        14:03
      "
"-182.823,00",0,"
        14:03
      "
"2.877,00",11,"
        14:02
      "
"23.953,00",7,"
        14:02
      "
"21.731,00",4,"
        14:01
      "
"17.548,00",6,"
        14:01
      "
"17.007,00",1,"
        14:00
      "
"12.645,00",6,"
        14:00
      "
"11.400,00",14,"
        13:59
      "
"17.334,00",6,"
        13:59
      "
"18.335,00",4,"
        13:58
      "
"4.804,00",14,"
        13:58
      "
"18.307,00",7,"
        13:57
      "
"10.302,00",7,"
        13:57
      "
"12.830,00",7,"
        13:56
      "
"-137.403,00",0,"
        13:56
      "
"8.730,00",3,"
        13:55
      "
"6.529,00",14,"
        13:55
      "
"12.640,00",6,"
        13:54
      "
"12.207,00",7,"
        13:54
      "
"10.876,00",12,"
        13:53
      "
"12.410,00",1,"
        13:53
      "
"11.285,00",14,"
        13:52
      "
"9.909,00",10,"
        13:52
      "
"6.114,00",1,"
        13:51
      "
"15.036,00",13,"
        13:51
      "
"10.991,00",11,"
        13:50
      "
"10.690,00",9,"
        13:50
      "
"7.300,00",10,"
        13:49
      "
"11.471,00",1,"
        13:49
      "
"10.799,00",7,"
        13:48
      "
"15.080,00",10,"
        13:48
      "
"-120.912,00",0,"
        13:47
      "
"16.554,00",3,"
        13:47
      "
"14.867,00",1,"
        13:46
      "
"13.251,00",7,"
        13:46
      "
"10.778,00",6,"
        13:45
      "
"9.113,00",14,"
        13:45
      "
"5.552,00",5,"
        13:44
      "
"10.924,00",12,"
        13:44
      "
"11.176,00",9,"
        13:43
      "
"7.759,00",1,"
        13:43
      "
"3.477,00",13,"
        13:42
      "
"13.305,00",1,"
        13:42
      "
"4.165,00",7,"
        13:41
      "
"7.381,00",14,"
        13:41
      "
"16.527,00",2,"
        13:40
      "
"6.808,00",9,"
        13:40
      "
"12.897,00",6,"
        13:39
      "
"12.487,00",3,"
        13:38
      "
"6.885,00",2,"
        13:38
      "
"14.316,00",14,"
        13:37
      "
"11.525,00",14,"
        13:37
      "
"4.826,00",11,"
        13:36
      "
"13.245,00",7,"
        13:36
      "
"11.880,00",1,"
        13:35
      "
"9.276,00",1,"
        13:35
      "
"7.266,00",1,"
        13:34
      "
"8.735,00",10,"
        13:34
      "
"8.845,00",11,"
        13:33
      "
"5.863,00",2,"
        13:33
      "
"5.492,00",10,"
        13:32
      "
"9.139,00",10,"
        13:32
      "
"7.201,00",3,"
        13:31
      "
"2.811,00",14,"
        13:31
      "
"6.623,00",10,"
        13:30
      "
"14.506,00",6,"
        13:30
      "
"-185.805,00",0,"
        13:29
      "
"-122.134,00",0,"
        13:29
      "
"6.066,00",7,"
        13:28
      "
